bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
7079349900.67244,NM1,0.943379656,195034649.97341433,193393500.0,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
16812905114.032682,NM2,0.397225502,463192116.5021273,-1,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1078156484.7845707,NM5,12.388766878,29702991.88157829,29306516.666666668,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
148376845.6998459,NM8_Variant,50.010274804,3919029.0748877046,3909063.2388663967,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
119084388.87046002,NM8,13.62725397,1174117.6935003581,1200958.2575757576,COMPILER,4,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
