query_name,parallelism,numOfRecords,tuplesPerSecond
YSB10k,16,5000000,1899165
NM1,16,20000000,7546514
NM2,16,20000000,7677605
NM5,16,20000000,4848627
NM8,16,20000000,1427466
NM8_Variant,16,20000000,2381566
