bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
1621046212.5168197,NM1,0.662375826,46596964.72678941,15196000.0,COMPILER,4,40000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
2468894285.3357034,NM2,0.434907979,70968353.05475046,-1,COMPILER,4,40000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
356651967.16314894,NM5,6.021230347,10251958.892546915,11470625.0,COMPILER,4,40000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
61940637.165781796,NM8_Variant,20.720759145,1656184.3492245276,1807109.5652173914,COMPILER,4,40000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
56401974.78989179,NM8,7.43644884,592817.3641546897,619936.8181818182,COMPILER,4,40000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
