bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
5481573692.353206,NM5,2.436714363,151016240.38812298,285023250.0,COMPILER,24,800000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
7016265150.819,NM5,1.903723571,193296677.94505656,196501500.0,COMPILER,24,80000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
6082563421.51695,NM5,2.195953979,167573385.19797823,155826000.0,COMPILER,24,40000,HASH_JOIN,10,SECOND_CHANCE,2097152,8192
5452085496.429828,NM5,2.449893597,150203846.58770958,157570625.0,COMPILER,24,20000,HASH_JOIN,10,SECOND_CHANCE,5242880,8192
474547671.98285854,NM8,3.419663201,4678823.340064945,4535800.0,COMPILER,24,80000000,HASH_JOIN,10,SECOND_CHANCE,1024,8192
665914630.961268,NM8,2.436938814,6565614.1664622035,7330300.0,COMPILER,24,40000000,HASH_JOIN,10,SECOND_CHANCE,2048,8192
800269552.4078748,NM8,2.027808263,7890292.337762311,8219500.0,COMPILER,24,20000000,HASH_JOIN,10,SECOND_CHANCE,4096,8192
845141316.2785366,NM8,1.920144217,8332707.438505907,8548857.142857144,COMPILER,24,10000000,HASH_JOIN,10,SECOND_CHANCE,8192,8192
944635819.0823977,NM8,1.717903533,9313677.801255211,8534714.285714285,COMPILER,24,800000,HASH_JOIN,10,SECOND_CHANCE,102400,8192
743667294.4352971,NM8,2.182149495,7332219.921990267,9197000.0,COMPILER,24,80000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
