bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
31410163168.302074,NM1,0.212622731,865343607.1235487,-1,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
91156143777.51184,NM2,0.073264559,2511333221.83786,-1,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
8581374305.032598,NM5,1.556514012,236415116.8335258,220215400.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1129626522.3799484,NM8_Variant,6.568867392,29836455.709045317,28882419.35483871,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
942432626.9022274,NM8,1.721919599,9291955.332462652,9556857.142857144,COMPILER,16,250000,HASH_JOIN,10,SECOND_CHANCE,256000,8192
