bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
1156302156.2271104,YSB10k,3.21138667,6227839.26545974,7065250.0,COMPILER,256,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1156302156.2271104,YSB10k,3.21138667,6227839.26545974,7065250.0,COMPILER,256,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
5728459840.484861,NM1,1.165848214,157817903.55772677,92123500.0,COMPILER,256,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
5728459840.484861,NM1,1.165848214,157817903.55772677,92123500.0,COMPILER,256,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1319049144.2312562,NM5,10.126256028,36339535.656860046,43088428.571428575,COMPILER,256,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
1319049144.2312562,NM5,10.126256028,36339535.656860046,43088428.571428575,COMPILER,256,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
