query_name,parallelism,numOfRecords,tuplesPerSecond
YSB10k,96,5000000,0
NM1,96,20000000,3074977
NM2,96,20000000,3466362
NM5,96,20000000,3051123
NM8,96,20000000,775021
NM8_Variant,96,20000000,1275083
