bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,numberOfEntriesSliceCaches,sliceCacheType,bufferSizeInBytes,pageSize
2924201924.355969,YSB10k,1.269862146,15749741.074650478,7534000.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
2924201924.355969,YSB10k,1.269862146,15749741.074650478,7534000.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
5218171402.943839,NM1,1.279857283,143759560.88535225,90558000.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
5218171402.943839,NM1,1.279857283,143759560.88535225,90558000.0,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
2644780551.7019114,NM5,5.05033559,72863166.30693446,69836111.1111111,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
2644780551.7019114,NM5,5.05033559,72863166.30693446,69836111.1111111,COMPILER,16,20000,HASH_JOIN,10,SECOND_CHANCE,1048576,8192
